1	23.10000000	113.16666670	23.09998242	113.16666670
2	23.11666667	113.18333330	23.11664908	113.18333330
3	23.13333333	113.20000000	23.13331573	113.20000000
4	23.15000000	113.21666670	23.14998239	113.21666670
5	23.16666667	113.23333330	23.16664905	113.23333330
6	23.18333333	113.25000000	23.18331570	113.25000000
7	23.20000000	113.26666670	23.19998236	113.26666670
8	23.21666667	113.28333330	23.21664902	113.28333330
9	23.23333333	113.30000000	23.23331567	113.30000000
10	23.25000000	113.31666670	23.24998233	113.31666670
11	23.26666667	113.33333330	23.26664899	113.33333330
12	23.28333333	113.35000000	23.28331564	113.35000000
13	23.30000000	113.36666670	23.29998230	113.36666670
14	23.31666667	113.38333330	23.31664896	113.38333330
15	23.33333333	113.40000000	23.33331561	113.40000000
