1,AIRP,457375.257763,5632861.593903,2946826.324196
2,BADG,-838176.462470,3865286.821819,4986986.871164
3,BAGH,-224395.836281,5862795.590935,2493193.365529
4,BARK,-243941.343987,5880857.736891,2448719.042967
5,BELT,609149.933610,5630843.245232,2923282.297744
6,BESI,550767.911225,5596746.985700,2998849.863737
7,BJNM,-2154249.264147,4373368.012022,4098813.069022
8,BRN2,271785.553321,5704376.397490,2830698.064565
10,CHNR,-153909.192488,5819334.587845,2597463.829523
11,DAMA,482358.837985,5635371.193369,2938090.398652
12,DIGH,-211475.772522,5859415.706982,2502191.326018
13,DMAU,563282.479906,5608889.848733,2973902.210609
14,GARM,1671599.084927,4672886.344104,3992877.786318
15,GHER,547090.089846,5589399.775239,3013096.079526
16,IRKT,-968254.146735,3794129.957898,5017769.053020
17,JAFL,-203489.242793,5772001.436685,2697072.245108
18,JAML,-124875.249211,5782647.216367,2679114.620625
20,JURI,-216375.512993,5803242.423888,2628616.216679
21,KAWA,578246.515799,5624279.518880,2942007.707015
22,KIRT,464291.556429,5633081.083755,2945334.841576
23,KIT3,1944758.279574,4556204.485449,4003935.969476
24,KMTR,972814.225161,4656274.261226,4234680.381346
25,KPTI,-228076.642125,5891166.815772,2425513.747106
26,KRTV,798538.799871,3967136.091729,4913460.394480
27,KSTU,-174274.001046,3571211.177802,5264025.047786
28,KUMT,973594.600700,4656436.792158,4234324.704086
30,MANM,1591559.514826,4806914.826610,3865287.653756
